Data: 2018-5-31
Czas: 13.56.6
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 011
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1255; 1025; 1000
0.2; 1267; 980; 984
0.3; 1275; 1011; 1017
0.4; 1264; 984; 1006
0.5; 1267; 979; 1042
0.6; 1267; 992; 1018
0.7; 1260; 1015; 999
0.8; 1274; 993; 1029
0.9; 1256; 1027; 1041
1.0; 1292; 1030; 1029
1.1; 1297; 996; 1040
1.2; 1279; 1005; 1008
1.3; 1271; 1032; 1019
1.4; 1281; 981; 992
1.5; 1277; 1011; 1032
1.6; 1267; 1040; 997
1.7; 1269; 996; 989
1.8; 1279; 1026; 1000
1.9; 1278; 994; 1018
2.0; 1268; 998; 1014
2.1; 1269; 1016; 1020
2.2; 1255; 1024; 997
2.3; 1283; 994; 990
2.4; 1278; 981; 1006
2.5; 1265; 990; 1050
2.6; 1291; 1012; 1038
2.7; 1297; 1016; 1019
2.8; 1291; 1016; 994
2.9; 1275; 1016; 998
3.0; 1267; 1034; 1008
3.1; 1275; 1028; 1003
3.2; 1291; 1018; 1000
3.3; 1250; 1028; 1044
3.4; 1291; 1014; 999
3.5; 1269; 996; 1018
3.6; 1259; 986; 985
3.7; 1262; 985; 995
3.8; 1273; 1018; 1020
3.9; 1287; 1050; 1032
4.0; 1259; 996; 989
4.1; 1287; 1003; 982
4.2; 1269; 1032; 1038
4.3; 1263; 986; 1015
4.4; 1254; 989; 1005
4.5; 1297; 999; 1017
4.6; 1254; 1030; 983
4.7; 1282; 1010; 1019
4.8; 1287; 1029; 1001
4.9; 1291; 1004; 1019
5.0; 1263; 1006; 996
5.1; 1275; 988; 1028
5.2; 1274; 1015; 1006
5.3; 1263; 1033; 1031
5.4; 1275; 1032; 1039
5.5; 1254; 985; 1028
5.6; 1271; 988; 1024
5.7; 1273; 1043; 1052
5.8; 1273; 998; 991
5.9; 1279; 996; 1000
6.0; 1258; 1021; 1013
6.1; 1264; 1024; 1005
6.2; 1292; 1019; 999
6.3; 1278; 982; 995
6.4; 1290; 1038; 995
6.5; 1260; 1000; 1016
6.6; 1282; 991; 1005
6.7; 1283; 1004; 1039
6.8; 1273; 1008; 1004
6.9; 1256; 1017; 1031
7.0; 1289; 1028; 1044
7.1; 1282; 1005; 1024
7.2; 1248; 974; 983
7.3; 1280; 997; 986
7.4; 1300; 1034; 1011
7.5; 1287; 993; 988
7.6; 1281; 1010; 1027
7.7; 1297; 1009; 1018
7.8; 1283; 995; 1006
7.9; 1281; 971; 1021
8.0; 1292; 988; 991
8.1; 1259; 1038; 1001
8.2; 1268; 986; 983
8.3; 1291; 994; 1022
8.4; 1262; 993; 1003
8.5; 1275; 1014; 998
