Data: 2018-5-30
Czas: 14.6.56
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 066
Czas zgrzewania: 020
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1294; 0; 0
0.4; 1258; 0; 0
0.7; 1270; 0; 0
1.0; 1298; 0; 0
1.3; 1277; 0; 0
1.6; 1299; 0; 0
1.9; 1251; 0; 0
2.2; 1256; 0; 0
2.5; 1259; 0; 0
2.8; 1289; 0; 0
3.1; 1270; 0; 0
3.4; 1274; 0; 0
3.7; 1279; 0; 0
4.0; 1296; 0; 0
4.3; 1265; 0; 0
4.6; 1267; 0; 0
4.9; 1271; 0; 0
5.2; 1290; 0; 0
5.5; 1273; 0; 0
5.8; 1282; 0; 0
6.1; 1279; 0; 0
6.4; 1267; 0; 0
6.7; 1285; 0; 0
7.0; 1259; 0; 0
7.3; 1279; 0; 0
7.6; 1299; 0; 0
7.9; 1279; 0; 0
8.2; 1276; 0; 0
8.5; 1272; 0; 0
8.8; 1266; 0; 0
9.1; 1267; 0; 0
9.4; 1272; 0; 0
9.7; 1268; 0; 0
10.0; 1283; 0; 0
10.3; 1266; 0; 0
10.6; 1266; 0; 0
10.9; 1279; 0; 0
11.2; 1278; 0; 0
11.5; 1259; 0; 0
11.8; 1256; 0; 0
12.1; 1278; 0; 0
12.4; 1257; 0; 0
12.7; 1267; 0; 0
13.0; 1251; 0; 0
13.3; 1279; 0; 0
13.6; 1298; 0; 0
13.9; 1276; 0; 0
14.2; 1298; 0; 0
14.5; 1288; 0; 0
14.8; 1275; 0; 0
15.1; 1283; 0; 0
15.4; 1256; 0; 0
15.7; 1258; 0; 0
16.0; 1271; 0; 0
16.3; 1289; 0; 0
16.6; 1260; 0; 0
16.9; 1272; 0; 0
17.2; 1279; 0; 0
17.5; 1259; 0; 0
17.8; 1274; 0; 0
18.1; 1275; 0; 0
18.4; 1251; 0; 0
18.7; 1279; 0; 0
19.0; 1258; 0; 0
19.3; 1287; 0; 0
19.6; 1267; 0; 0
19.9; 1271; 0; 0
20.2; 1279; 0; 0
20.5; 1272; 0; 0
20.8; 1279; 0; 0
21.1; 1261; 0; 0
21.4; 1289; 0; 0
21.7; 1268; 0; 0
22.0; 1264; 0; 0
22.3; 1279; 0; 0
22.6; 1267; 0; 0
22.9; 1289; 0; 0
23.2; 1284; 0; 0
23.5; 1267; 0; 0
23.8; 1279; 0; 0
24.1; 1279; 0; 0
24.4; 1266; 0; 0
24.7; 1288; 0; 0
25.0; 1287; 0; 0
25.3; 1275; 0; 0
25.6; 1258; 0; 0
25.9; 1252; 0; 0
26.2; 1283; 0; 0
26.5; 1255; 0; 0
26.8; 1265; 0; 0
27.1; 1264; 0; 0
27.4; 1294; 0; 0
27.7; 1258; 0; 0
28.0; 1267; 0; 0
28.3; 1289; 0; 0
28.6; 1283; 0; 0
28.9; 1279; 0; 0
29.2; 1299; 0; 0
29.5; 1270; 0; 0
29.8; 1260; 0; 0
30.1; 1262; 0; 0
30.4; 1288; 0; 0
30.7; 1271; 0; 0
31.0; 1283; 0; 0
31.3; 1278; 0; 0
31.6; 1282; 0; 0
31.9; 1263; 0; 0
32.2; 1278; 0; 0
32.5; 1289; 0; 0
32.8; 1277; 0; 0
33.1; 1275; 0; 0
33.4; 1247; 0; 0
33.7; 1269; 0; 0
34.0; 1292; 0; 0
34.3; 1267; 0; 0
34.6; 1282; 0; 0
34.9; 1274; 0; 0
35.2; 1279; 0; 0
35.5; 1258; 0; 0
35.8; 1274; 0; 0
36.1; 1296; 0; 0
36.4; 1283; 0; 0
36.7; 1260; 0; 0
37.0; 1289; 0; 0
37.3; 1255; 0; 0
37.6; 1278; 0; 0
37.9; 1271; 0; 0
38.2; 1270; 0; 0
38.5; 1262; 0; 0
38.8; 1259; 0; 0
39.1; 1259; 0; 0
39.4; 1262; 0; 0
39.7; 1274; 0; 0
40.0; 1262; 0; 0
40.3; 1258; 0; 0
40.6; 1294; 0; 0
40.9; 1268; 0; 0
41.2; 1282; 0; 0
41.5; 1275; 0; 0
41.8; 1268; 0; 0
42.1; 1299; 0; 0
42.4; 1283; 0; 0
42.7; 1263; 0; 0
43.0; 1259; 0; 0
43.3; 1288; 0; 0
43.6; 1282; 0; 0
43.9; 1265; 0; 0
44.2; 1274; 0; 0
44.5; 1288; 0; 0
44.8; 1266; 0; 0
45.1; 1290; 0; 0
45.4; 1259; 0; 0
45.7; 1266; 0; 0
46.0; 1279; 0; 0
46.3; 1272; 0; 0
46.6; 1291; 0; 0
46.9; 1251; 0; 0
47.2; 1291; 0; 0
47.5; 1261; 0; 0
47.8; 1271; 0; 0
48.1; 1247; 0; 0
48.4; 1284; 0; 0
48.7; 1270; 0; 0
49.0; 1275; 0; 0
49.3; 1278; 0; 0
49.6; 1256; 0; 0
49.9; 1286; 0; 0
50.2; 1286; 0; 0
50.5; 1267; 0; 0
50.8; 1279; 0; 0
51.1; 1281; 0; 0
51.4; 1277; 0; 0
51.7; 1286; 0; 0
52.0; 1257; 0; 0
52.3; 1260; 0; 0
52.6; 1262; 0; 0
52.9; 1295; 0; 0
53.2; 1259; 0; 0
53.5; 1284; 0; 0
53.8; 1294; 0; 0
54.1; 1268; 0; 0
54.4; 1276; 0; 0
54.7; 1259; 0; 0
55.0; 1278; 0; 0
55.3; 1250; 0; 0
55.6; 1267; 0; 0
55.9; 1281; 0; 0
56.2; 1270; 0; 0
56.5; 1247; 0; 0
56.8; 1272; 0; 0
57.1; 1283; 0; 0
57.4; 1264; 0; 0
57.7; 1254; 0; 0
58.0; 1271; 0; 0
58.3; 1290; 0; 0
58.6; 1271; 0; 0
58.9; 1298; 0; 0
59.2; 1274; 0; 0
59.5; 1258; 0; 0
59.8; 1265; 0; 0
60.1; 1297; 0; 0
60.4; 1277; 0; 0
60.7; 1251; 0; 0
61.0; 1267; 0; 0
61.3; 1257; 0; 0
61.6; 1279; 0; 0
61.9; 1293; 0; 0
62.2; 1275; 0; 0
62.5; 1247; 0; 0
62.8; 1285; 0; 0
63.1; 1249; 0; 0
63.4; 1275; 0; 0
63.7; 1252; 0; 0
64.0; 1293; 0; 0
64.3; 1269; 0; 0
64.6; 1272; 0; 0
64.9; 1256; 0; 0
65.2; 1289; 0; 0
65.5; 1265; 0; 0
65.8; 1276; 0; 0
66.1; 1272; 0; 0
66.4; 1256; 0; 0
66.7; 1276; 0; 0
67.0; 1276; 0; 0
67.3; 1281; 0; 0
67.6; 1284; 0; 0
67.9; 1283; 0; 0
68.2; 1277; 0; 0
68.5; 1261; 0; 0
68.8; 1268; 0; 0
69.1; 1261; 0; 0
69.4; 1269; 0; 0
69.7; 1252; 0; 0
70.0; 1263; 0; 0
70.3; 1283; 0; 0
70.6; 1283; 0; 0
70.9; 1261; 0; 0
71.2; 1257; 0; 0
71.5; 1262; 0; 0
71.8; 1263; 0; 0
72.1; 1277; 0; 0
72.4; 1284; 0; 0
72.7; 1249; 0; 0
73.0; 1265; 0; 0
73.3; 1293; 0; 0
73.6; 1257; 0; 0
73.9; 1293; 0; 0
74.2; 1261; 0; 0
74.5; 1276; 0; 0
74.8; 1277; 0; 0
75.1; 1269; 0; 0
75.4; 1261; 0; 0
75.7; 1257; 0; 0
76.0; 1289; 0; 0
76.3; 1269; 0; 0
76.6; 1252; 0; 0
76.9; 1284; 0; 0
77.2; 1251; 0; 0
77.5; 1261; 0; 0
77.8; 1252; 0; 0
78.1; 1260; 0; 0
78.4; 1251; 0; 0
78.7; 1265; 0; 0
79.0; 1277; 0; 0
79.3; 1261; 0; 0
79.6; 1260; 0; 0
79.9; 1275; 0; 0
80.2; 1269; 0; 0
80.5; 1284; 0; 0
80.8; 1257; 0; 0
81.1; 1260; 0; 0
81.4; 1283; 0; 0
81.7; 1285; 0; 0
82.0; 1289; 0; 0
82.3; 1261; 0; 0
82.6; 1289; 0; 0
82.9; 1253; 0; 0
83.2; 1272; 0; 0
83.5; 1289; 0; 0
83.8; 1284; 0; 0
84.1; 1271; 0; 0
84.4; 1281; 0; 0
84.7; 1257; 0; 0
85.0; 1260; 0; 0
85.3; 1270; 0; 0
85.6; 1285; 0; 0
85.9; 1257; 0; 0
86.2; 1277; 0; 0
86.5; 1280; 0; 0
86.8; 1269; 0; 0
87.1; 1281; 0; 0
87.4; 1248; 0; 0
87.7; 1252; 0; 0
88.0; 1263; 0; 0
88.3; 1284; 0; 0
88.6; 1253; 0; 0
88.9; 1253; 0; 0
89.2; 1284; 0; 0
89.5; 1285; 0; 0
89.8; 1277; 0; 0
90.1; 1293; 0; 0
90.4; 1272; 0; 0
90.7; 1270; 0; 0
91.0; 1293; 0; 0
91.3; 1273; 0; 0
91.6; 1261; 0; 0
91.9; 1255; 0; 0
92.2; 1267; 0; 0
92.5; 1281; 0; 0
92.8; 1249; 0; 0
93.1; 1269; 0; 0
93.4; 1265; 0; 0
93.7; 1263; 0; 0
94.0; 1265; 0; 0
94.3; 1249; 0; 0
94.6; 1275; 0; 0
94.9; 1259; 0; 0
95.2; 1279; 0; 0
95.5; 1285; 0; 0
95.8; 1278; 0; 0
96.1; 1261; 0; 0
96.4; 1249; 0; 0
96.7; 1283; 0; 0
97.0; 1264; 0; 0
97.3; 1271; 0; 0
97.6; 1285; 0; 0
97.9; 1284; 0; 0
98.2; 1260; 0; 0
98.5; 1263; 0; 0
98.8; 1283; 0; 0
99.1; 1256; 0; 0
99.4; 1285; 0; 0
99.7; 1285; 0; 0
100.0; 1260; 0; 0
100.3; 1253; 0; 0
100.6; 1259; 0; 0
100.9; 1296; 0; 0
101.2; 1274; 0; 0
101.5; 1300; 0; 0
101.8; 1259; 0; 0
102.1; 1270; 0; 0
102.4; 1267; 0; 0
102.7; 1258; 0; 0
103.0; 1287; 0; 0
103.3; 1288; 0; 0
103.6; 1254; 0; 0
103.9; 1286; 0; 0
104.2; 1278; 0; 0
104.5; 1299; 0; 0
104.8; 1250; 0; 0
105.1; 1262; 0; 0
