Data: 2018-5-30
Czas: 14.8.15
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 040
Czas zgrzewania: 500
-
t [ms]; I [A]; U [V]; F [kN]
0.1; 1279; 0; 0
0.4; 1263; 0; 0
0.7; 1262; 0; 0
1.0; 1261; 0; 0
1.3; 1265; 0; 0
1.6; 1267; 0; 0
1.9; 1271; 0; 0
2.2; 1293; 0; 0
2.5; 1288; 0; 0
2.8; 1264; 0; 0
3.1; 1299; 0; 0
3.4; 1273; 0; 0
3.7; 1284; 0; 0
4.0; 1267; 0; 0
4.3; 1275; 0; 0
4.6; 1264; 0; 0
4.9; 1257; 0; 0
5.2; 1279; 0; 0
5.5; 1271; 0; 0
5.8; 1274; 0; 0
6.1; 1271; 0; 0
6.4; 1261; 0; 0
6.7; 1275; 0; 0
7.0; 1275; 0; 0
7.3; 1267; 0; 0
7.6; 1271; 0; 0
7.9; 1267; 0; 0
8.2; 1275; 0; 0
8.5; 1275; 0; 0
8.8; 1286; 0; 0
9.1; 1272; 0; 0
9.4; 1267; 0; 0
9.7; 1271; 0; 0
10.0; 1272; 0; 0
10.3; 1289; 0; 0
10.6; 1266; 0; 0
10.9; 1274; 0; 0
11.2; 1298; 0; 0
11.5; 1291; 0; 0
11.8; 1262; 0; 0
12.1; 1259; 0; 0
12.4; 1282; 0; 0
12.7; 1297; 0; 0
13.0; 1285; 0; 0
13.3; 1255; 0; 0
13.6; 1277; 0; 0
13.9; 1283; 0; 0
14.2; 1292; 0; 0
14.5; 1269; 0; 0
14.8; 1287; 0; 0
15.1; 1290; 0; 0
15.4; 1269; 0; 0
15.7; 1281; 0; 0
16.0; 1255; 0; 0
16.3; 1291; 0; 0
16.6; 1279; 0; 0
16.9; 1269; 0; 0
17.2; 1277; 0; 0
17.5; 1294; 0; 0
17.8; 1288; 0; 0
18.1; 1279; 0; 0
18.4; 1305; 0; 0
18.7; 1298; 0; 0
19.0; 1278; 0; 0
19.3; 1279; 0; 0
19.6; 1283; 0; 0
19.9; 1269; 0; 0
20.2; 1279; 0; 0
20.5; 1275; 0; 0
20.8; 1253; 0; 0
21.1; 1273; 0; 0
21.4; 1296; 0; 0
21.7; 1283; 0; 0
22.0; 1289; 0; 0
22.3; 1254; 0; 0
22.6; 1265; 0; 0
22.9; 1298; 0; 0
23.2; 1259; 0; 0
23.5; 1291; 0; 0
23.8; 1269; 0; 0
24.1; 1296; 0; 0
24.4; 1247; 0; 0
24.7; 1297; 0; 0
25.0; 1271; 0; 0
25.3; 1272; 0; 0
25.6; 1272; 0; 0
25.9; 1288; 0; 0
26.2; 1257; 0; 0
26.5; 1275; 0; 0
26.8; 1267; 0; 0
27.1; 1270; 0; 0
27.4; 1264; 0; 0
27.7; 1304; 0; 0
28.0; 1288; 0; 0
28.3; 1279; 0; 0
28.6; 1287; 0; 0
28.9; 1283; 0; 0
29.2; 1273; 0; 0
29.5; 1279; 0; 0
29.8; 1275; 0; 0
30.1; 1279; 0; 0
30.4; 1255; 0; 0
30.7; 1249; 0; 0
31.0; 1283; 0; 0
31.3; 1259; 0; 0
31.6; 1273; 0; 0
31.9; 1289; 0; 0
32.2; 1263; 0; 0
32.5; 1270; 0; 0
32.8; 1274; 0; 0
33.1; 1274; 0; 0
33.4; 1269; 0; 0
33.7; 1275; 0; 0
34.0; 1254; 0; 0
34.3; 1272; 0; 0
34.6; 1285; 0; 0
34.9; 1275; 0; 0
35.2; 1299; 0; 0
35.5; 1283; 0; 0
35.8; 1287; 0; 0
36.1; 1284; 0; 0
36.4; 1258; 0; 0
36.7; 1282; 0; 0
37.0; 1275; 0; 0
37.3; 1288; 0; 0
37.6; 1264; 0; 0
37.9; 1287; 0; 0
38.2; 1299; 0; 0
38.5; 1278; 0; 0
38.8; 1288; 0; 0
39.1; 1267; 0; 0
39.4; 1251; 0; 0
39.7; 1272; 0; 0
40.0; 1287; 0; 0
40.3; 1262; 0; 0
40.6; 1257; 0; 0
40.9; 1279; 0; 0
41.2; 1275; 0; 0
41.5; 1281; 0; 0
41.8; 1265; 0; 0
42.1; 1283; 0; 0
42.4; 1285; 0; 0
42.7; 1263; 0; 0
43.0; 1278; 0; 0
43.3; 1286; 0; 0
43.6; 1283; 0; 0
43.9; 1289; 0; 0
44.2; 1260; 0; 0
44.5; 1290; 0; 0
44.8; 1286; 0; 0
45.1; 1296; 0; 0
45.4; 1279; 0; 0
45.7; 1259; 0; 0
46.0; 1264; 0; 0
46.3; 1273; 0; 0
46.6; 1297; 0; 0
46.9; 1286; 0; 0
47.2; 1257; 0; 0
47.5; 1298; 0; 0
47.8; 1270; 0; 0
48.1; 1266; 0; 0
48.4; 1302; 0; 0
48.7; 1275; 0; 0
49.0; 1266; 0; 0
49.3; 1266; 0; 0
